qualified_team_id,tournament_id,team_id,count_matches,performance
494,WC-2014,T-28,3,group stage
495,WC-2014,T-30,5,quarter-finals
496,WC-2014,T-31,7,final
497,WC-2014,T-32,3,group stage
498,WC-2014,T-33,4,round of 16
499,WC-2014,T-35,3,group stage
500,WC-2014,T-38,3,group stage
501,WC-2014,T-41,3,group stage
502,WC-2014,T-42,3,group stage
503,WC-2014,T-44,3,group stage
504,WC-2014,T-46,4,round of 16
505,WC-2014,T-48,7,third-place match
506,WC-2014,T-50,4,round of 16
507,WC-2014,T-58,3,group stage
508,WC-2014,T-62,3,group stage
509,WC-2014,T-71,3,group stage
510,WC-2014,T-73,3,group stage
511,WC-2014,T-75,4,round of 16
512,WC-2014,T-83,4,round of 16
513,WC-2014,T-84,4,round of 16
538,WC-2018,T-03,4,round of 16
539,WC-2018,T-04,3,group stage
540,WC-2018,T-06,7,third-place match
541,WC-2018,T-09,5,quarter-finals
542,WC-2018,T-16,4,round of 16
543,WC-2018,T-17,3,group stage
544,WC-2018,T-18,7,final
545,WC-2018,T-22,4,round of 16
546,WC-2018,T-26,3,group stage
547,WC-2018,T-28,7,third-place match
548,WC-2018,T-30,7,final
549,WC-2018,T-31,3,group stage
550,WC-2018,T-37,3,group stage
551,WC-2018,T-38,3,group stage
552,WC-2018,T-44,4,round of 16
553,WC-2018,T-46,4,round of 16
554,WC-2018,T-47,3,group stage
555,WC-2018,T-50,3,group stage
556,WC-2018,T-54,3,group stage
557,WC-2018,T-56,3,group stage
558,WC-2018,T-57,3,group stage
559,WC-2018,T-58,4,round of 16
560,WC-2018,T-62,5,quarter-finals
561,WC-2018,T-63,3,group stage
562,WC-2018,T-65,3,group stage
563,WC-2018,T-66,3,group stage
564,WC-2018,T-71,3,group stage
565,WC-2018,T-73,4,round of 16
566,WC-2018,T-74,5,quarter-finals
567,WC-2018,T-75,4,round of 16
568,WC-2018,T-79,3,group stage
569,WC-2018,T-84,5,quarter-finals
594,WC-2022,T-03,7,final
595,WC-2022,T-04,4,round of 16
596,WC-2022,T-06,3,group stage
597,WC-2022,T-09,5,quarter-finals
598,WC-2022,T-11,3,group stage
599,WC-2022,T-12,3,group stage
600,WC-2022,T-17,3,group stage
601,WC-2022,T-18,7,third-place match
602,WC-2022,T-22,3,group stage
603,WC-2022,T-25,3,group stage
604,WC-2022,T-28,5,quarter-finals
605,WC-2022,T-30,7,final
606,WC-2022,T-31,3,group stage
607,WC-2022,T-32,3,group stage
608,WC-2022,T-38,3,group stage
609,WC-2022,T-44,4,round of 16
610,WC-2022,T-46,3,group stage
611,WC-2022,T-47,7,third-place match
612,WC-2022,T-48,5,quarter-finals
613,WC-2022,T-57,4,round of 16
614,WC-2022,T-58,5,quarter-finals
615,WC-2022,T-59,3,group stage
616,WC-2022,T-63,3,group stage
617,WC-2022,T-65,4,round of 16
618,WC-2022,T-66,3,group stage
619,WC-2022,T-71,4,round of 16
620,WC-2022,T-73,4,round of 16
621,WC-2022,T-75,4,round of 16
622,WC-2022,T-79,3,group stage
623,WC-2022,T-83,4,round of 16
624,WC-2022,T-84,3,group stage
625,WC-2022,T-85,3,group stage
